sub,seed_age,seed_roi,target_age,target_roi,r2
NDAREG930XPP,18,lFFA,7.995779,lLO,0.2834838255221154
NDAREG930XPP,18,lFFA,7.995779,rLO,0.2709895933574536
NDAREG930XPP,18,lFFA,7.995779,lFFA,0.2708014377136154
NDAREG930XPP,18,lFFA,7.995779,rFFA,0.27489146992870483
NDAREK255DEE,18,lFFA,6.508898,lLO,0.2678005718947119
NDAREK255DEE,18,lFFA,6.508898,rLO,0.259653882210551
NDAREK255DEE,18,lFFA,6.508898,lFFA,0.23729146469803136
NDAREK255DEE,18,lFFA,6.508898,rFFA,0.22682210547477302
NDARKG460MWV,18,lFFA,7.174309,lLO,0.31075754514264625
NDARKG460MWV,18,lFFA,7.174309,rLO,0.31143243937636667
NDARKG460MWV,18,lFFA,7.174309,lFFA,0.2762085251514104
NDARKG460MWV,18,lFFA,7.174309,rFFA,0.2916975660125967
NDARVL498YX5,18,lFFA,7.155487,lLO,0.28552191643694236
NDARVL498YX5,18,lFFA,7.155487,rLO,0.3062571778972632
NDARVL498YX5,18,lFFA,7.155487,lFFA,0.27539201291264126
NDARVL498YX5,18,lFFA,7.155487,rFFA,0.2766149444714907
NDARAC857HDB,18,lFFA,6.975017,lLO,0.36871473460814264
NDARAC857HDB,18,lFFA,6.975017,rLO,0.3555783999487424
NDARAC857HDB,18,lFFA,6.975017,lFFA,0.30205001235665624
NDARAC857HDB,18,lFFA,6.975017,rFFA,0.319031885509956
NDARAD615WLJ,18,lFFA,6.304243,lLO,0.31597243792980123
NDARAD615WLJ,18,lFFA,6.304243,rLO,0.3123184587338711
NDARAD615WLJ,18,lFFA,6.304243,lFFA,0.26428089198872057
NDARAD615WLJ,18,lFFA,6.304243,rFFA,0.2718273573945406
NDARBL214YLX,18,lFFA,6.218913,lLO,0.2939859357263466
NDARBL214YLX,18,lFFA,6.218913,rLO,0.2741661278682657
NDARBL214YLX,18,lFFA,6.218913,lFFA,0.2760598939434966
NDARBL214YLX,18,lFFA,6.218913,rFFA,0.27744983549728053
NDARCW497XW2,18,lFFA,7.757472,lLO,0.27076824415473477
NDARCW497XW2,18,lFFA,7.757472,rLO,0.30069563081748185
NDARCW497XW2,18,lFFA,7.757472,lFFA,0.22846214610647173
NDARCW497XW2,18,lFFA,7.757472,rFFA,0.30810091139554796
NDARDN393BJH,18,lFFA,7.90851,lLO,0.2725889948733842
NDARDN393BJH,18,lFFA,7.90851,rLO,0.25816384264144304
NDARDN393BJH,18,lFFA,7.90851,lFFA,0.20653745063193757
NDARDN393BJH,18,lFFA,7.90851,rFFA,0.22431419076151465
NDAREF888EVV,18,lFFA,6.306525,lLO,0.28081457053798714
NDAREF888EVV,18,lFFA,6.306525,rLO,0.2549891881333354
NDAREF888EVV,18,lFFA,6.306525,lFFA,0.24639269305039915
NDAREF888EVV,18,lFFA,6.306525,rFFA,0.21863665612694053
NDAREL410HHK,18,lFFA,19.632101,lLO,0.469140892762972
NDAREL410HHK,18,lFFA,19.632101,rLO,0.448534719229259
NDAREL410HHK,18,lFFA,19.632101,lFFA,0.3958864158410346
NDAREL410HHK,18,lFFA,19.632101,rFFA,0.4002194121862007
NDAREV342ABE,18,lFFA,19.19895,lLO,0.3597317645522014
NDAREV342ABE,18,lFFA,19.19895,rLO,0.34613486335520366
NDAREV342ABE,18,lFFA,19.19895,lFFA,0.3007074462620379
NDAREV342ABE,18,lFFA,19.19895,rFFA,0.24933078799098457
NDAREX336AC1,18,lFFA,6.103924,lLO,0.32158851909372255
NDAREX336AC1,18,lFFA,6.103924,rLO,0.2877681521619686
NDAREX336AC1,18,lFFA,6.103924,lFFA,0.29946078429854905
NDAREX336AC1,18,lFFA,6.103924,rFFA,0.29662556561922776
NDARFE372VHL,18,lFFA,7.697353,lLO,0.3401140237107754
NDARFE372VHL,18,lFFA,7.697353,rLO,0.3042141591433536
NDARFE372VHL,18,lFFA,7.697353,lFFA,0.2978841860410972
NDARFE372VHL,18,lFFA,7.697353,rFFA,0.32811039178787654
NDARFM749LF3,18,lFFA,7.664955,lLO,0.24547748859504595
NDARFM749LF3,18,lFFA,7.664955,rLO,0.24428198950476743
NDARFM749LF3,18,lFFA,7.664955,lFFA,0.20705053225969558
